Feature,Importance,Selected
humedadMax_lag3,1.3142212226071726,True
humedadMedia_lag2,0.29965907448250145,True
dirViento_lag3,0.27148322632970506,False
dia_lag1,0.0,False
velViento_lag2,0.0,False
dirViento_lag1,0.0,False
dirViento_lag2,0.0,False
velVientoMax_lag1,0.0,False
velVientoMax_lag2,0.0,False
velVientoMax_lag3,0.0,False
dirVientoVelMax_lag1,0.0,False
dirVientoVelMax_lag2,0.0,False
dirVientoVelMax_lag3,0.0,False
radiacion_lag1,0.0,False
radiacion_lag2,0.0,False
radiacion_lag3,0.0,False
precipitacion_lag1,0.0,False
precipitacion_lag2,0.0,False
precipitacion_lag3,0.0,False
bateria_lag1,0.0,False
bateria_lag2,0.0,False
velViento_lag3,0.0,False
velViento_lag1,0.0,False
dia_lag2,0.0,False
tempMin_lag1,0.0,False
dia_lag3,0.0,False
tempMedia_lag1,0.0,False
tempMedia_lag2,0.0,False
tempMedia_lag3,0.0,False
tempMax_lag1,0.0,False
tempMax_lag2,0.0,False
tempMax_lag3,0.0,False
tempMin_lag2,0.0,False
humedadMin_lag3,0.0,False
tempMin_lag3,0.0,False
humedadMedia_lag1,0.0,False
humedadMedia_lag3,0.0,False
humedadMax_lag1,0.0,False
humedadMax_lag2,0.0,False
humedadMin_lag1,0.0,False
humedadMin_lag2,0.0,False
bateria_lag3,0.0,False
